Country Name,Year,Renewable_Share,GDP_per_Capita,Electricity_Access,Urban_Population,CO2_Emissions,Energy_Consumption
Estonia,2012,25.0,26242.5282659014,100.0,898943.0,13.429013,32926.87
Finland,2012,38.7,40739.1131809421,100.0,3809602.0,9.448505,9697.429
France,2012,12.3,37671.0239268565,100.0,50666011.0,5.59021,2147.2473
United Kingdom,2012,4.2,38336.5961844419,100.0,51791033.0,7.62153,7055.203
Greece,2012,14.2,24582.9741957507,100.0,8490077.0,8.272102,8567.741
Croatia,2012,29.4,21618.825625842,100.0,2356166.0,4.472641,1720.7826
Hungary,2012,16.5,23205.310668404,100.0,6902313.0,4.7113004,3060.869
Indonesia,2012,30.1,9530.29071136718,96.0,129279032.0,2.041047,2001.2213
India,2012,34.8,4819.64288218731,79.9,403931914.0,1.5070187,2962.3005
Ireland,2012,6.9,46726.2157665366,100.0,2863344.0,8.309304,5716.23
Iraq,2012,1.3,14402.0340893955,99.3,23296629.0,3.9827716,0.0
Iceland,2012,77.7,42004.4476110597,100.0,299917.0,10.90585,3454.3552
Israel,2012,2.9,32483.7421872738,100.0,7256116.0,9.829567,13468.969
Italy,2012,14.4,36281.1014243506,100.0,41388031.0,6.665015,3018.8123
Japan,2012,4.7,37605.9742614539,100.0,116176247.0,10.178457,10585.611
Kazakhstan,2012,1.3,21367.2180595372,100.0,9465070.0,14.172037,25439.867
Kuwait,2012,0.0,82089.726133145,100.0,3337109.0,30.326586,226.53975
Sri Lanka,2012,52.9,10249.1670637714,87.0,3865917.0,0.72696227,250.51102
Lithuania,2012,23.9,23275.2517553588,100.0,1998349.0,4.7030005,909.5138
Luxembourg,2012,4.2,96636.426643956,100.0,474881.0,20.450043,1176.2499
Latvia,2012,40.4,19416.5167382125,100.0,1379943.0,3.6958487,524.2535
Morocco,2012,10.9,7307.6123046875,96.4,19824639.0,1.7074838,1054.4224
Mexico,2012,9.0,18004.7935607542,99.1,89551109.0,4.292929,1277.7632
North Macedonia,2012,18.3,12725.9772893634,99.6,1126869.0,4.1713424,7984.533
Malaysia,2012,2.5,22638.5406944009,99.8,21347750.0,7.180488,6222.74
North America,2012,10.0055359347168,50775.2778839875,100.0,281854605.0,11.919599,9474.521
Netherlands,2012,4.9,47653.3401651371,100.0,14833879.0,9.798995,5624.4644
Norway,2012,56.9,65774.3520746224,100.0,3989293.0,8.819053,1898.5487
New Zealand,2012,28.8,33054.8936751088,100.0,3781167.0,8.141623,4595.079
Oman,2012,0.0,49989.4425093994,100.0,2698928.0,17.790545,101.24863
Pakistan,2012,47.2,4046.59848766311,88.6,73132102.0,0.7249827,293.96585
Peru,2012,30.8,10757.1522234351,91.1,23241010.0,1.5400378,343.54718
Philippines,2012,34.1,6094.26837338658,87.1,48002381.0,0.8732301,938.6382
Poland,2012,10.9,23728.1456821435,100.0,23079281.0,8.517539,15577.268
Portugal,2012,25.5,26476.2182777269,100.0,6428879.0,4.7494764,3219.9072
Qatar,2012,0.0,180939.439450305,100.0,1700784.0,49.15157,27.841078
Romania,2012,21.5,19807.5984490026,97.8,10822575.0,4.457074,4365.6807
Saudi Arabia,2012,0.0,65033.6161818077,100.0,21571304.0,22.38202,33.17389
Singapore,2012,0.5,82107.7270892092,100.0,5312437.0,8.709049,54.70775
Slovenia,2012,20.2,28786.7105517686,100.0,1023682.0,7.677851,7827.3774
Sweden,2012,48.3,45206.9864434727,100.0,8150970.0,4.8959537,2504.8242
Thailand,2012,23.6,14616.6497925392,99.1,31505634.0,3.778261,2758.8203
Turkmenistan,2012,0.0,11035.451277853,99.9,2727711.0,11.52416,0.0
Trinidad and Tobago,2012,0.4,31883.2297483766,100.0,720009.0,32.881195,0.0
Ukraine,2012,2.9,9552.314453125,99.9,31803701.0,6.5879583,10751.132
United States,2012,8.5,51708.3940614082,100.0,253620571.0,16.812391,15257.555
Uzbekistan,2012,1.3,6168.13764755172,99.7,15021881.0,4.061949,456.98874
World,2012,16.8962150785112,14187.1265331167,84.93629043483,3797813052.0,4.854014,6123.7944
South Africa,2012,8.3,12986.7976675307,85.2,33862395.0,8.579701,19102.545
United Arab Emirates,2013,0.1,87526.3254797061,100.0,6458747.0,27.348331,2627.8552
Argentina,2013,8.9,19928.989490167,99.3,38878399.0,4.4507732,350.83237
Australia,2013,9.2,46123.4750962848,100.0,20022958.0,17.121933,22647.434
Austria,2013,34.6,47519.8522796571,100.0,5706762.0,7.989103,4495.8896
Azerbaijan,2013,2.5,17267.5118919538,100.0,5102221.0,3.5308728,4.0419807
Belgium,2013,8.3,43864.1204196838,100.0,9568248.0,9.212671,3665.4644
Bangladesh,2013,37.0,3691.10431102117,61.5,45144971.0,0.41373482,94.29636
Bulgaria,2013,18.2,16893.7689556096,95.3,5224175.0,5.861707,9515.395
Belarus,2013,7.0,19014.0529737698,96.2,7172091.0,6.7781887,1031.6803
Brazil,2013,42.3,15722.3335243701,99.6,169039320.0,2.6782215,965.5807
Canada,2013,22.2,44301.0562529133,100.0,28479956.0,16.11036,6781.227
Switzerland,2013,21.8,61656.4661708516,100.0,5995187.0,5.3370247,191.22287
Chile,2013,30.2,22201.0660684337,99.6,15420023.0,4.6210914,4963.4116
China,2013,11.5,12228.3736084197,100.0,742829499.0,7.2097993,16607.686
Colombia,2013,32.0,12779.8865818318,97.8,35551303.0,1.8730689,1271.679
Cyprus,2013,9.7,30415.7890625,100.0,795699.0,5.5563617,2.3576336
Czechia,2013,13.9,31013.0082933831,100.0,7692475.0,10.152071,18694.838
Germany,2013,13.6,45889.0173022052,100.0,64898125.0,10.263195,11887.708
Denmark,2013,27.0,46869.1932887749,100.0,4915517.0,7.4373164,6708.5737
Algeria,2013,0.1,14370.820661674,99.2,26485182.0,3.6844282,47.834946
Ecuador,2013,11.8,11295.6127804419,98.0,9940111.0,2.5105705,9.261388
Spain,2013,16.9,32613.6891811474,100.0,36810702.0,5.3800054,2828.5532
Estonia,2013,24.5,27831.1526234213,100.0,897455.0,14.897581,36744.69
Finland,2013,38.5,41325.8052072321,100.0,3843951.0,9.508818,10671.223
France,2013,13.4,39583.3520435045,100.0,50979490.0,5.591334,2269.1409
United Kingdom,2013,5.2,39947.5369562562,100.0,52245947.0,7.4175463,6754.6
Greece,2013,16.6,25730.8809006664,100.0,8453651.0,7.4504676,7409.2505
Croatia,2013,32.8,22429.8502256715,100.0,2344151.0,4.337481,1850.8502
Hungary,2013,17.2,24591.6380503055,100.0,6903782.0,4.397312,2687.4316
Indonesia,2013,30.6,9866.01699250847,96.5,132610251.0,1.9285924,1722.6971
India,2013,34.9,5014.3505659078,83.1,413495036.0,1.5398146,3094.3337
Ireland,2013,7.7,48838.7719825525,100.0,2885479.0,8.060807,5145.2095
Iraq,2013,1.5,14668.5432764995,99.0,24501383.0,4.016338,0.0
Iceland,2013,76.8,44409.6689530904,100.0,303097.0,10.771516,3936.5095
Israel,2013,3.3,34827.3647351146,100.0,7392398.0,8.141993,10638.489
Italy,2013,16.3,36459.2950248716,100.0,41800410.0,6.0912943,2595.1045
Japan,2013,5.0,39402.0250988025,100.0,116168233.0,10.271204,11035.061
Kazakhstan,2013,1.2,23754.1341952117,100.0,9669766.0,14.44096,24827.312
Kuwait,2013,0.0,76812.5387330449,100.0,3507844.0,23.675167,908.36664
Sri Lanka,2013,56.9,11252.6311491911,90.2,3794292.0,0.6621668,261.19772
Lithuania,2013,26.3,24889.8726227818,100.0,1984310.0,4.4444146,1057.1086
Luxembourg,2013,5.7,100925.011992241,100.0,488705.0,18.999275,1025.2485
Latvia,2013,39.6,20473.5243706913,100.0,1365527.0,3.660572,419.77066
Morocco,2013,11.6,7542.0986328125,97.2,20241576.0,1.6753621,1032.9792
